"","Name","Adjusted","Year","Catch","Biomass","bbmsy","ffmsy","PV","Implementation_year","Reserve_size"
"2","Atrina","IUU",2015,376.120804966693,2701.98457784536,0.348655266408706,1.6676919911619,-4117244.93738907,0,0
"3","Atrina","IUU",2016,403.946147055937,2927.7013178763,0.37778101744876,1.64956496949586,-2996191.33479053,0,0
"4","Atrina","IUU",2017,434.102843492731,3163.82827174345,0.408250068486971,1.636042884828,-2031861.28605266,0,0
"5","Atrina","IUU",2018,466.580263397558,3407.92986314786,0.439748140711262,1.62720504643823,-1207268.23883451,0,0
"6","Atrina","IUU",2019,501.316183738737,3656.97915123438,0.471884647558368,1.62311726678567,-507636.115225412,0,0
"7","Atrina","IUU",2020,538.186718090533,3907.40938460096,0.504199347074842,1.62382533226942,79936.6186416236,0,0
"8","Atrina","IUU",2021,576.997490063102,4155.21467900443,0.536175333039435,1.62934791727828,566789.862213902,0,0
"9","Atrina","IUU",2022,617.477153759555,4396.09859517317,0.567258206958854,1.63966923526995,962990.798523428,0,0
"10","Atrina","IUU",2023,659.274410844797,4625.66264450244,0.596880402227113,1.65473181190408,1277596.05828601,0,0
"11","Atrina","IUU",2024,701.959553745195,4839.6201147518,0.624488775495256,1.67442983758755,1518882.95321786,0,0
"12","Atrina","IUU",2025,745.03125279929,5034.01555580341,0.649572928396875,1.69860359538119,1694544.93552622,0,0
"13","Atrina","IUU",2026,787.928818634611,5205.42810807712,0.671691444382796,1.7270354530914,1811846.80819151,0,0
"14","Atrina","IUU",2027,830.049573113476,5351.13830285536,0.690493412090319,1.75944784958824,1877736.70638941,0,0
"15","Atrina","IUU",2028,870.770352789021,5469.24283739153,0.705733235548386,1.79550359713303,1898914.33128826,0,0
"16","Atrina","IUU",2029,909.471659349611,5558.70907755124,0.717277667020435,1.83480867416132,1881857.93449381,0,0
"17","Atrina","IUU",2030,945.5626537369,5619.3690670497,0.72510503397595,1.87691751312452,1832815.56634505,0,0
"18","Atrina","IUU",2031,978.505111704693,5651.85997907321,0.729297555162156,1.92134061491244,1757768.55809695,0,0
"19","Atrina","IUU",2032,1007.83461255198,5657.52301224989,0.730028294470249,1.96755416330619,1662376.70072202,0,0
"20","Atrina","IUU",2033,1033.17756981649,5638.275176154,0.727544616555569,2.01501118429652,1551914.94352205,0,0
"21","Atrina","IUU",2034,1054.26316017139,5596.46838328577,0.72215000452681,2.06315370531698,1431210.73708317,0,0
"22","Atrina","IUU",2035,1070.92969113408,5534.74838984949,0.714185858124675,2.11142532285389,1304589.63493444,0,0
"23","Atrina","IUU",2036,1083.125410147,5455.92321701517,0.704014515231157,2.15928358369278,1175834.77192029,0,0
"24","Atrina","IUU",2037,1090.90415719749,5362.84748570163,0.692004326807659,2.20621162219173,1048163.67175322,0,0
"25","Atrina","IUU",2038,1094.4165777626,5258.32615338377,0.678517235406961,2.25172856784976,924223.757634568,0,0
"26","Atrina","IUU",2039,1093.89783220431,5145.03875108547,0.663898998962193,2.2953983364319,806106.126181753,0,0
"27","Atrina","IUU",2040,1089.65285967845,5025.48347813473,0.648471976956595,2.33683653480911,695375.701738149,0,0
"28","Atrina","IUU",2041,1082.04028314791,4901.93938121701,0.632530250132077,2.37571533432729,593114.863194773,0,0
"29","Atrina","IUU",2042,1071.4559868196,4776.44421433097,0.6163367636102,2.41176628974835,499977.032530791,0,0
"30","Atrina","IUU",2043,1058.31727327725,4650.78532064986,0.600122150317349,2.44478119139672,416246.503485099,0,0
"31","Atrina","IUU",2044,1043.04833423696,4526.50087984076,0.584084891934732,2.47461112980622,341900.914220667,0,0
"32","Atrina","IUU",2045,1026.06756815734,4404.88903155766,0.568392496164134,2.50116402018598,276673.155167787,0,0
"33","Atrina","IUU",2046,1007.77707167548,4287.02264820184,0.55318340295668,2.52440087653357,220110.068139593,0,0
"34","Atrina","IUU",2047,988.554439023814,4173.76783880762,0.538569372193819,2.5443311430041,171625.950415967,0,0
"35","Atrina","IUU",2048,968.746838497814,4065.80458788315,0.524638146855946,2.56100738612318,130549.551079281,0,0
"36","Atrina","IUU",2049,948.667206312125,3963.64824624125,0.511456226129035,2.57451962996921,96163.8746468861,0,0
"37","Atrina","IUU",2050,928.592308847729,3867.67088120056,0.49907162036487,2.58498958257186,67738.6457869254,0,0
"38","Atrina","IUU",2051,908.762372713429,3778.12175254371,0.487516493231829,2.59256496049738,44555.7145961869,0,0
"39","Atrina","IUU",2052,889.381963244485,3695.14640392822,0.476809625208192,2.59741407440989,25927.9876143762,0,0
"40","Atrina","IUU",2053,870.621799180897,3618.80404577758,0.466958656613655,2.59972079496072,11212.661820298,0,0
"41","Atrina","IUU",2054,852.621216868685,3549.08305605386,0.457962087778393,2.59967997833703,-180.367435861462,0,0
"42","Atrina","IUU",2055,835.491034377385,3485.9145423775,0.449811029054721,2.59749339590309,-8784.03835666904,0,0
"43","Atrina","IUU",2056,819.316608430089,3429.18399642596,0.442490704662633,2.59336618345508,-15072.7504283109,0,0
"44","Atrina","IUU",2057,804.160920337445,3378.74113368034,0.435981722378576,2.58750380286453,-19463.3238139662,0,0
"45","Atrina","IUU",2058,790.06756792849,3334.40805282468,0.430261126397685,2.58010949200177,-22317.6271575366,0,0
"46","Atrina","IUU",2059,777.06357673721,3295.98587370434,0.425303253874266,2.57138216718639,-23946.319238144,0,0
"47","Atrina","IUU",2060,765.16197441268,3263.26002461567,0.421080417176375,2.56151473521969,-24613.2568407911,0,0
"48","Atrina","IUU",2061,754.364097216681,3236.00435222244,0.417563434216024,2.55069276847398,-24540.2200559059,0,0
"49","Atrina","IUU",2062,744.66161682363,3213.98422341366,0.414722028702785,2.53909349573401,-23911.6933696095,0,0
"50","Atrina","IUU",2063,736.038290028224,3196.95878020551,0.412525121108961,2.52688506277268,-22879.5147952358,0,0
"51","Atrina","IUU",2064,728.47144413707,3184.68249809514,0.410941029754482,2.51422601936881,-21567.2658227748,0,0
"52","Atrina","IUU",2065,721.933217551823,3176.90618637406,0.409937599884075,2.50126499312279,-20074.3229718087,0,0
